Wheat_type	Site_name	Lat	Long	Design	Temp_increase	Irrigtion_mm	Nitrogen_kgha	TGS	PGS	DGS	Sensitivity	Ref
Winterwheat	Nanjing	32.03	118.86	Infraredheaters	1.5	0	225	10.3	393	8	11.1	1
Winterwheat	Nanjing	32.03	118.86	Infraredheaters	1.5	0	225	10.6	476	7.6	10.5	1
Winterwheat	Nanjing	32.03	118.86	Infraredheaters	1.5	0	225	11.6	341	8.3	14.5	1
Winterwheat	Nanjing	32.03	118.86	Infraredheaters	1.5	0	225	10	387	7.9	6.7	1
Winterwheat	Nanjing	32.03	118.86	Infraredheaters	1.5	0	225	10.5	325	8.1	11.8	1
Winterwheat	TongweiCounty	35.22	105.23	Heatingcable	1.4	0	NA	5.7	288	6.6	2.21	2
Winterwheat	TongweiCounty	35.22	105.23	Heatingcable	2.2	0	NA	5.7	288	6.6	1.18	2
Winterwheat	LuluMountain	35.29	105.26	Heatingcable	0.6	0	NA	5.7	288	6.6	0.83	2
Winterwheat	LuluMountain	35.29	105.26	Heatingcable	1.4	0	NA	5.7	288	6.6	2.57	2
Winterwheat	LuluMountain	35.29	105.26	Heatingcable	2.2	0	NA	5.7	288	6.6	2.73	2
Springwheat	Guyuan	36.03	106.46	Greenhouse	0.5	0	NA	12.4	97	11.2	-9.33	3
Springwheat	Guyuan	36.03	106.46	Greenhouse	1.2	0	NA	12.4	97	11.2	-11.03	3
Springwheat	Guyuan	36.03	106.46	Greenhouse	2	0	NA	12.4	97	11.2	-7.4	3
Springwheat	Guyuan	36.03	106.46	Greenhouse	0.5	60	NA	12.4	97	11.2	-11.84	3
Springwheat	Guyuan	36.03	106.46	Greenhouse	1.2	60	NA	12.4	97	11.2	-10.65	3
Springwheat	Guyuan	36.03	106.46	Greenhouse	2	60	NA	12.4	97	11.2	-6.78	3
Winterwheat	Dingxing	39.13	115.66	Infraredheaters	2.9	500	210	8.9	77	9.3	-3.1	4
Winterwheat	Dingxing	39.13	115.66	Infraredheaters	2.9	500	210	6.4	113	8.2	8.25	4
Springwheat	Xidatan	38.8	106.3	Infraredheaters	0.5	NA	136	14.3	23	12.2	-1	5
Springwheat	Xidatan	38.8	106.3	Infraredheaters	1	NA	136	14.3	23	12.2	-0.8	5
Springwheat	Xidatan	38.8	106.3	Infraredheaters	1.5	NA	136	14.3	23	12.2	-3.33	5
Springwheat	Xidatan	38.8	106.3	Infraredheaters	2	NA	136	14.3	23	12.2	-8.25	5
Springwheat	Xidatan	38.8	106.3	Infraredheaters	2.5	NA	136	14.3	23	12.2	-7.4	5
Winterwheat	Shanghai	31.21	121.13	Infraredheaters	1.5	NA	NA	11	433	6.1	3.46	6
Winterwheat	Shanghai	31.21	121.13	Infraredheaters	1.5	NA	NA	11.4	343	6.6	3.33	6
Winterwheat	Shanghai	31.21	121.13	Infraredheaters	1.5	NA	NA	10.2	476	5.7	3.45	6
Winterwheat	Yucheng	36.83	116.57	Infraredheaters	1.3	150	285	8.6	118	10	1.23	7
Winterwheat	Yucheng	36.83	116.57	Infraredheaters	1.3	150	285	8.6	118	10	-2.54	7
Winterwheat	Yucheng	36.83	116.57	Infraredheaters	1.3	150	285	8.8	160	8.8	-1.15	7
Winterwheat	Yucheng	36.83	116.57	Infraredheaters	1.3	150	285	8.8	160	8.8	-4.69	7
Winterwheat	Lianyungang	34.55	119.39	Infraredheaters	2.2	0	0	7.9	372	7.3	12.92	8
Winterwheat	Lianyungang	34.55	119.39	Infraredheaters	2.2	0	150	7.9	372	7.3	6.31	8
Winterwheat	Lianyungang	34.55	119.39	Infraredheaters	2.2	0	225	7.9	372	7.3	2.95	8
Winterwheat	Lianyungang	34.55	119.39	Infraredheaters	2.2	0	300	7.9	372	7.3	5.82	8
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	240	9.6	131	9.5	-13	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	240	8.9	65	9.8	-13.5	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	240	8.8	153	8.6	-6	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	0	9.6	131	9.5	-12.5	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	0	8.9	65	9.8	-3.5	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	0	8.8	153	8.6	-4.5	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	240	7.3	167	8.5	15.5	9
Winterwheat	Luancheng	37.88	114.68	Infraredheaters	2	160	0	7.3	167	8.5	0.5	9
Springwheat	Dingxi	35.58	104.62	Infraredheaters	1	0	NA	13.6	171	8.6	-8.37	10
Springwheat	Dingxi	35.58	104.62	Infraredheaters	2	0	NA	13.6	171	8.6	-7.55	10
Springwheat	Dingxi	35.58	104.62	Infraredheaters	3	0	NA	13.6	171	8.6	-7.27	10
